Severity,Category,File Path,Endpoint,Issue Description,Impact,Defensive Recommendation
Critical,Access Control (Missing Authentication),routers/notifications.py,GET /notifications/student/{student_email},"Notifications router endpoints lack `Depends(get_current_user)` authentication dependency.",Unauthenticated attackers can retrieve sensitive student notifications and unread health alerts by probing emails.,Add `get_current_user` auth dependency to all notification endpoints and verify `current_user['email'] == student_email`.
Critical,Access Control (Missing Auth & Role Check),routers/doctors.py,PUT /doctors/{doctor_id}/schedule,"Schedule update endpoint `PUT /{doctor_id}/schedule` lacks authentication and doctor role verification.",Any unauthenticated user can overwrite doctor schedules and availability slots.,Require `get_current_user` and enforce that `current_user['role'] == 'doctor'` and `current_user['_id'] == doctor_id`.
Critical,Access Control (Missing Auth),routers/doctors.py,GET /doctors/{doctor_id}/patients,"Patient list endpoint `GET /{doctor_id}/patients` lacks authentication checks.",Unauthenticated users can list full profile details of all students who booked appointments with a doctor.,Add `get_current_user` dependency and ensure requester is either the specific doctor or an admin.
Critical,Broken Object Level Authorization (BOLA),routers/prescriptions.py,GET /prescriptions/student/{student_email},"Authenticated users can access prescriptions of any student by providing another student's email in the path.",Patient medical confidentiality breach across registered users.,Enforce BOLA guardrail: ensure `current_user['email'] == student_email` or `current_user['role'] in ['doctor', 'admin']`.
Critical,Broken Object Level Authorization (BOLA),routers/reports.py,GET /reports/student/{student_email},"Authenticated users can view medical lab reports belonging to any student.",Unauthorized access to protected health information (PHI).,Enforce strict ownership check: `current_user['email'] == student_email` or `current_user['role'] in ['doctor', 'admin']`.
High,Cryptographic & Session Hygiene,core/config.py,N/A,"`SECRET_KEY` lacks default strength enforcement and allows starting with empty/weak configuration.",Allows potential session token forgery if default secret is deployed.,Require mandatory strong `SECRET_KEY` validation in Pydantic settings schema on startup.
High,CORS Configuration,main.py,N/A,"CORS middleware defaults to `allow_origins=['*']` with `allow_credentials=True` when `ALLOWED_ORIGINS` environment variable is not explicitly set.",Cross-origin scripts can read responses on authenticated endpoints if wildcards combined with credentials are abused by browsers.,Set explicit list of domain origins for CORS and disable wildcard when credentials are enabled.
High,Missing Rate Limiting,routers/auth.py,POST /auth/send-otp & POST /auth/login,"Authentication routes (login, OTP generation, password reset) have no rate-limiting middleware.",Vulnerable to credential brute-forcing, mail server resource exhaustion, and OTP flooding.,Integrate `slowapi` rate-limiter middleware (e.g. 5 requests/minute per IP).
High,Role Authorization Guardrail,routers/prescriptions.py,POST /prescriptions,"Any authenticated user (including students) can create and upload medical prescriptions.",Students can self-issue official campus prescriptions.,Add role validation check verifying `current_user.get('role') in ['doctor', 'admin']`.
Medium,No File Upload Validation,routers/auth.py,POST /auth/upload-profile-picture,"Profile image upload lacks magic byte/header verification and file size limits.",Users could upload arbitrarily large files causing denial of service or storage exhaustion.,Validate image magic numbers (PIL/imghdr) and cap uploads at 5MB.
Medium,Unsanitized Query Pattern,routers/auth.py,POST /auth/login & /verify-otp,"MongoDB `$regex` queries with raw strings are used for email lookups instead of lowercased indexed strings.",Potential ReDoS (Regular Expression Denial of Service) or unintended regex pattern matching.,Store normalized lowercased emails and query using standard exact match `{"email": clean_email}` with DB index.
Low,Insecure Hardcoded Admin Seeding,main.py,N/A,"On startup, default admin account `admin@unihealth.ai` is created with weak default password `admin123` if absent.",Predictable admin credentials if environment isn't customized.,Load initial admin setup password from `INITIAL_ADMIN_PASSWORD` env variable and force mandatory reset on first login.
